CROPS,CROPS_LABEL,N,P,K,SOIL_PH,CROP_DURATION,TEMP,WATER_REQUIRED,HUMIDITY,TYPE_OF_CROP,SOIL,SEASON,SOWN,HARVESTED,WATER_SOURCE
rice,39,89,53,48,6.5,137,33,1634,68,cereals,"alluvial soil,loamy soil,clay soil",kharif,"Jun,Jul","Sep,Oct","irrigated,rainfed"
rice,39,92,44,55,5.9,119,24,1706,72,cereals,"alluvial soil,loamy soil,clay soil",kharif,"Jun,Jul","Sep,Oct","irrigated,rainfed"
rice,39,90,51,50,6.4,134,31,1649,69,cereals,"alluvial soil,loamy soil,clay soil",kharif,"Jun,Jul","Sep,Oct","irrigated,rainfed"
rice,39,90,49,52,6.2,129,29,1664,70,cereals,"alluvial soil,loamy soil,clay soil",kharif,"Jun,Jul","Sep,Oct","irrigated,rainfed"
rice,39,91,46,53,6.1,124,27,1680,71,cereals,"alluvial soil,loamy soil,clay soil",kharif,"Jun,Jul","Sep,Oct","irrigated,rainfed"
rice,39,91,48,52,6.2,127,28,1671,71,cereals,"alluvial soil,loamy soil,clay soil",kharif,"Jun,Jul","Sep,Oct","irrigated,rainfed"
rice,39,93,42,56,5.8,115,23,1754,74,cereals,"alluvial soil,loamy soil,clay soil",kharif,"Jun,Jul","Sep,Oct","irrigated,rainfed"
rice,39,94,40,57,5.7,112,21,1820,75,cereals,"alluvial soil,loamy soil,clay soil",kharif,"Jun,Jul","Sep,Oct","irrigated,rainfed"
rice,39,92,45,54,6,121,25,1690,72,cereals,"alluvial soil,loamy soil,clay soil",kharif,"Jun,Jul","Sep,Oct","irrigated,rainfed"
rice,39,93,41,56,5.8,114,22,1772,74,cereals,"alluvial soil,loamy soil,clay soil",kharif,"Jun,Jul","Sep,Oct","irrigated,rainfed"
rice,39,91,45,54,6,123,26,1686,71,cereals,"alluvial soil,loamy soil,clay soil",kharif,"Jun,Jul","Sep,Oct","irrigated,rainfed"
rice,39,89,52,48,6.5,136,33,1638,68,cereals,"alluvial soil,loamy soil,clay soil",kharif,"Jun,Jul","Sep,Oct","irrigated,rainfed"
rice,39,91,46,53,6.1,124,27,1680,71,cereals,"alluvial soil,loamy soil,clay soil",kharif,"Jun,Jul","Sep,Oct","irrigated,rainfed"
rice,39,91,46,53,6.1,124,27,1680,71,cereals,"alluvial soil,loamy soil,clay soil",kharif,"Jun,Jul","Sep,Oct","irrigated,rainfed"
rice,39,90,48,52,6.2,129,29,1665,70,cereals,"alluvial soil,loamy soil,clay soil",kharif,"Jun,Jul","Sep,Oct","irrigated,rainfed"
rice,39,91,47,52,6.2,127,28,1672,71,cereals,"alluvial soil,loamy soil,clay soil",kharif,"Jun,Jul","Sep,Oct","irrigated,rainfed"
rice,39,90,49,51,6.3,130,29,1662,70,cereals,"alluvial soil,loamy soil,clay soil",kharif,"Jun,Jul","Sep,Oct","irrigated,rainfed"
rice,39,91,48,52,6.2,128,29,1667,70,cereals,"alluvial soil,loamy soil,clay soil",kharif,"Jun,Jul","Sep,Oct","irrigated,rainfed"
rice,39,93,42,56,5.8,116,23,1746,73,cereals,"alluvial soil,loamy soil,clay soil",kharif,"Jun,Jul","Sep,Oct","irrigated,rainfed"
rice,39,90,48,52,6.2,129,29,1665,70,cereals,"alluvial soil,loamy soil,clay soil",kharif,"Jun,Jul","Sep,Oct","irrigated,rainfed"
rice,39,90,49,51,6.3,131,30,1660,70,cereals,"alluvial soil,loamy soil,clay soil",kharif,"Jun,Jul","Sep,Oct","irrigated,rainfed"
rice,39,94,41,57,5.8,114,22,1792,74,cereals,"alluvial soil,loamy soil,clay soil",kharif,"Jun,Jul","Sep,Oct","irrigated,rainfed"
rice,39,91,47,53,6.1,126,28,1674,71,cereals,"alluvial soil,loamy soil,clay soil",kharif,"Jun,Jul","Sep,Oct","irrigated,rainfed"
rice,39,90,51,50,6.4,134,31,1649,69,cereals,"alluvial soil,loamy soil,clay soil",kharif,"Jun,Jul","Sep,Oct","irrigated,rainfed"
rice,39,91,48,52,6.2,128,29,1667,70,cereals,"alluvial soil,loamy soil,clay soil",kharif,"Jun,Jul","Sep,Oct","irrigated,rainfed"
rice,39,91,46,53,6,124,26,1682,71,cereals,"alluvial soil,loamy soil,clay soil",kharif,"Jun,Jul","Sep,Oct","irrigated,rainfed"
rice,39,93,42,55,5.8,117,23,1729,73,cereals,"alluvial soil,loamy soil,clay soil",kharif,"Jun,Jul","Sep,Oct","irrigated,rainfed"
rice,39,90,51,50,6.4,133,31,1650,69,cereals,"alluvial soil,loamy soil,clay soil",kharif,"Jun,Jul","Sep,Oct","irrigated,rainfed"
rice,39,94,40,57,5.7,113,21,1814,75,cereals,"alluvial soil,loamy soil,clay soil",kharif,"Jun,Jul","Sep,Oct","irrigated,rainfed"
rice,39,90,51,50,6.4,133,31,1650,69,cereals,"alluvial soil,loamy soil,clay soil",kharif,"Jun,Jul","Sep,Oct","irrigated,rainfed"
rice,39,91,47,53,6.1,126,28,1674,71,cereals,"alluvial soil,loamy soil,clay soil",kharif,"Jun,Jul","Sep,Oct","irrigated,rainfed"
rice,39,92,44,54,5.9,120,25,1702,72,cereals,"alluvial soil,loamy soil,clay soil",kharif,"Jun,Jul","Sep,Oct","irrigated,rainfed"
rice,39,92,43,55,5.9,118,24,1714,73,cereals,"alluvial soil,loamy soil,clay soil",kharif,"Jun,Jul","Sep,Oct","irrigated,rainfed"
rice,39,92,43,55,5.9,118,24,1716,73,cereals,"alluvial soil,loamy soil,clay soil",kharif,"Jun,Jul","Sep,Oct","irrigated,rainfed"
rice,39,91,45,54,6,122,26,1686,71,cereals,"alluvial soil,loamy soil,clay soil",kharif,"Jun,Jul","Sep,Oct","irrigated,rainfed"
rice,39,92,45,54,6,122,26,1689,72,cereals,"alluvial soil,loamy soil,clay soil",kharif,"Jun,Jul","Sep,Oct","irrigated,rainfed"
rice,39,91,46,53,6.1,125,27,1678,71,cereals,"alluvial soil,loamy soil,clay soil",kharif,"Jun,Jul","Sep,Oct","irrigated,rainfed"
rice,39,90,49,52,6.2,129,29,1664,70,cereals,"alluvial soil,loamy soil,clay soil",kharif,"Jun,Jul","Sep,Oct","irrigated,rainfed"
rice,39,89,52,49,6.5,135,32,1643,69,cereals,"alluvial soil,loamy soil,clay soil",kharif,"Jun,Jul","Sep,Oct","irrigated,rainfed"
rice,39,89,53,48,6.5,137,33,1634,68,cereals,"alluvial soil,loamy soil,clay soil",kharif,"Jun,Jul","Sep,Oct","irrigated,rainfed"
rice,39,89,53,48,6.5,137,33,1634,68,cereals,"alluvial soil,loamy soil,clay soil",kharif,"Jun,Jul","Sep,Oct","irrigated,rainfed"
rice,39,89,53,48,6.5,137,33,1634,68,cereals,"alluvial soil,loamy soil,clay soil",kharif,"Jun,Jul","Sep,Oct","irrigated,rainfed"
rice,39,89,52,48,6.5,137,33,1636,68,cereals,"alluvial soil,loamy soil,clay soil",kharif,"Jun,Jul","Sep,Oct","irrigated,rainfed"
rice,39,94,41,57,5.8,113,21,1796,74,cereals,"alluvial soil,loamy soil,clay soil",kharif,"Jun,Jul","Sep,Oct","irrigated,rainfed"
rice,39,90,49,52,6.2,129,29,1664,70,cereals,"alluvial soil,loamy soil,clay soil",kharif,"Jun,Jul","Sep,Oct","irrigated,rainfed"
rice,39,91,46,53,6,123,26,1685,71,cereals,"alluvial soil,loamy soil,clay soil",kharif,"Jun,Jul","Sep,Oct","irrigated,rainfed"
rice,39,92,43,55,5.9,118,24,1709,72,cereals,"alluvial soil,loamy soil,clay soil",kharif,"Jun,Jul","Sep,Oct","irrigated,rainfed"
rice,39,91,48,52,6.2,128,28,1670,70,cereals,"alluvial soil,loamy soil,clay soil",kharif,"Jun,Jul","Sep,Oct","irrigated,rainfed"
rice,39,89,53,48,6.5,137,33,1634,68,cereals,"alluvial soil,loamy soil,clay soil",kharif,"Jun,Jul","Sep,Oct","irrigated,rainfed"
rice,39,90,49,51,6.3,130,30,1661,70,cereals,"alluvial soil,loamy soil,clay soil",kharif,"Jun,Jul","Sep,Oct","irrigated,rainfed"
rice,39,90,49,52,6.2,129,29,1664,70,cereals,"alluvial soil,loamy soil,clay soil",kharif,"Jun,Jul","Sep,Oct","irrigated,rainfed"
rice,39,90,50,50,6.4,133,31,1653,69,cereals,"alluvial soil,loamy soil,clay soil",kharif,"Jun,Jul","Sep,Oct","irrigated,rainfed"
rice,39,91,46,53,6.1,125,27,1678,71,cereals,"alluvial soil,loamy soil,clay soil",kharif,"Jun,Jul","Sep,Oct","irrigated,rainfed"
rice,39,94,41,56,5.8,114,22,1785,74,cereals,"alluvial soil,loamy soil,clay soil",kharif,"Jun,Jul","Sep,Oct","irrigated,rainfed"
rice,39,90,49,51,6.3,131,30,1658,70,cereals,"alluvial soil,loamy soil,clay soil",kharif,"Jun,Jul","Sep,Oct","irrigated,rainfed"
rice,39,92,43,55,5.9,118,24,1712,72,cereals,"alluvial soil,loamy soil,clay soil",kharif,"Jun,Jul","Sep,Oct","irrigated,rainfed"
rice,39,89,53,48,6.5,137,33,1634,68,cereals,"alluvial soil,loamy soil,clay soil",kharif,"Jun,Jul","Sep,Oct","irrigated,rainfed"
rice,39,89,53,48,6.5,137,33,1634,68,cereals,"alluvial soil,loamy soil,clay soil",kharif,"Jun,Jul","Sep,Oct","irrigated,rainfed"
rice,39,89,52,49,6.5,135,32,1643,69,cereals,"alluvial soil,loamy soil,clay soil",kharif,"Jun,Jul","Sep,Oct","irrigated,rainfed"
rice,39,93,43,55,5.8,117,23,1726,73,cereals,"alluvial soil,loamy soil,clay soil",kharif,"Jun,Jul","Sep,Oct","irrigated,rainfed"
rice,39,92,45,54,6,121,25,1690,72,cereals,"alluvial soil,loamy soil,clay soil",kharif,"Jun,Jul","Sep,Oct","irrigated,rainfed"
rice,39,89,53,48,6.5,137,33,1634,68,cereals,"alluvial soil,loamy soil,clay soil",kharif,"Jun,Jul","Sep,Oct","irrigated,rainfed"
rice,39,89,53,48,6.5,137,33,1634,68,cereals,"alluvial soil,loamy soil,clay soil",kharif,"Jun,Jul","Sep,Oct","irrigated,rainfed"
rice,39,89,53,48,6.5,137,33,1634,68,cereals,"alluvial soil,loamy soil,clay soil",kharif,"Jun,Jul","Sep,Oct","irrigated,rainfed"
rice,39,89,52,48,6.5,137,33,1634,68,cereals,"alluvial soil,loamy soil,clay soil",kharif,"Jun,Jul","Sep,Oct","irrigated,rainfed"
rice,39,92,43,55,5.9,117,24,1717,73,cereals,"alluvial soil,loamy soil,clay soil",kharif,"Jun,Jul","Sep,Oct","irrigated,rainfed"
rice,39,89,51,49,6.4,135,32,1644,69,cereals,"alluvial soil,loamy soil,clay soil",kharif,"Jun,Jul","Sep,Oct","irrigated,rainfed"
rice,39,91,48,52,6.2,128,29,1667,70,cereals,"alluvial soil,loamy soil,clay soil",kharif,"Jun,Jul","Sep,Oct","irrigated,rainfed"
rice,39,90,49,51,6.3,131,30,1660,70,cereals,"alluvial soil,loamy soil,clay soil",kharif,"Jun,Jul","Sep,Oct","irrigated,rainfed"
rice,39,91,45,54,6,123,26,1685,71,cereals,"alluvial soil,loamy soil,clay soil",kharif,"Jun,Jul","Sep,Oct","irrigated,rainfed"
rice,39,89,53,48,6.5,137,33,1634,68,cereals,"alluvial soil,loamy soil,clay soil",kharif,"Jun,Jul","Sep,Oct","irrigated,rainfed"
rice,39,92,45,54,6,121,25,1692,72,cereals,"alluvial soil,loamy soil,clay soil",kharif,"Jun,Jul","Sep,Oct","irrigated,rainfed"
rice,39,89,52,48,6.5,137,33,1636,68,cereals,"alluvial soil,loamy soil,clay soil",kharif,"Jun,Jul","Sep,Oct","irrigated,rainfed"
rice,39,89,51,50,6.4,134,32,1646,69,cereals,"alluvial soil,loamy soil,clay soil",kharif,"Jun,Jul","Sep,Oct","irrigated,rainfed"
rice,39,92,44,54,5.9,120,25,1697,72,cereals,"alluvial soil,loamy soil,clay soil",kharif,"Jun,Jul","Sep,Oct","irrigated,rainfed"
rice,39,91,48,52,6.2,127,28,1670,71,cereals,"alluvial soil,loamy soil,clay soil",kharif,"Jun,Jul","Sep,Oct","irrigated,rainfed"
rice,39,90,49,52,6.2,129,29,1665,70,cereals,"alluvial soil,loamy soil,clay soil",kharif,"Jun,Jul","Sep,Oct","irrigated,rainfed"
rice,39,94,41,56,5.8,114,22,1787,74,cereals,"alluvial soil,loamy soil,clay soil",kharif,"Jun,Jul","Sep,Oct","irrigated,rainfed"
rice,39,93,41,56,5.8,115,22,1766,74,cereals,"alluvial soil,loamy soil,clay soil",kharif,"Jun,Jul","Sep,Oct","irrigated,rainfed"
rice,39,89,53,48,6.5,137,33,1634,68,cereals,"alluvial soil,loamy soil,clay soil",kharif,"Jun,Jul","Sep,Oct","irrigated,rainfed"
rice,39,90,49,52,6.2,129,29,1665,70,cereals,"alluvial soil,loamy soil,clay soil",kharif,"Jun,Jul","Sep,Oct","irrigated,rainfed"
rice,39,91,45,54,6,122,26,1686,71,cereals,"alluvial soil,loamy soil,clay soil",kharif,"Jun,Jul","Sep,Oct","irrigated,rainfed"
rice,39,90,51,50,6.4,133,31,1650,69,cereals,"alluvial soil,loamy soil,clay soil",kharif,"Jun,Jul","Sep,Oct","irrigated,rainfed"
rice,39,89,53,48,6.5,137,33,1635,68,cereals,"alluvial soil,loamy soil,clay soil",kharif,"Jun,Jul","Sep,Oct","irrigated,rainfed"
rice,39,92,43,55,5.9,117,23,1724,73,cereals,"alluvial soil,loamy soil,clay soil",kharif,"Jun,Jul","Sep,Oct","irrigated,rainfed"
rice,39,92,44,54,6,121,25,1694,72,cereals,"alluvial soil,loamy soil,clay soil",kharif,"Jun,Jul","Sep,Oct","irrigated,rainfed"
rice,39,90,50,51,6.3,132,31,1655,69,cereals,"alluvial soil,loamy soil,clay soil",kharif,"Jun,Jul","Sep,Oct","irrigated,rainfed"
rice,39,89,53,48,6.5,137,33,1634,68,cereals,"alluvial soil,loamy soil,clay soil",kharif,"Jun,Jul","Sep,Oct","irrigated,rainfed"
rice,39,90,50,51,6.3,131,30,1658,70,cereals,"alluvial soil,loamy soil,clay soil",kharif,"Jun,Jul","Sep,Oct","irrigated,rainfed"
